pincode_id,pincode,status,created_at,updated_at,deleted_at
1,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
2,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
3,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
4,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
5,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
6,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
7,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
8,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
9,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
10,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
11,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
12,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
13,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
14,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
15,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
16,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
17,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
18,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
19,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
20,110001,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
21,110002,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
22,110002,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
23,110002,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
24,110002,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
25,110002,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
26,110002,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
27,110002,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
28,110002,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
29,110003,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
30,110003,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
31,110003,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
32,110003,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
33,110003,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
34,110003,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
35,110003,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
36,110003,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
37,110003,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
38,110008,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
39,110008,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
40,110008,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
41,110008,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
42,110008,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
43,110009,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
44,110009,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
45,110009,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
46,110009,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
47,110009,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
48,110009,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
49,110009,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
50,110010,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
51,110010,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
52,110010,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
53,110010,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
54,110010,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
55,110010,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
56,110010,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
57,110010,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
58,110010,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
59,110010,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
60,110003,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
61,110004,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
62,110005,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
63,110005,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
64,110005,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
65,110005,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
66,110005,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
67,110005,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
68,110005,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
69,110005,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
70,110006,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
71,110006,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
72,110006,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
73,110006,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
74,110006,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
75,110006,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
76,110006,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
77,110006,0,"2026-01-13 22:15:25","2026-01-13 22:15:25",NULL
